,ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98
ISIC 58T60,0.0019,0.0012,0.0022,0.0020,0.0011,0.0052,0.0038,0.0028,0.0051,0.0008,0.0029,0.0039,0.0032,0.0026,0.0000,0.0024,0.0016,0.0024,0.0017,0.0033,0.0029,0.0030,0.0030,0.0030,0.0014,0.0000,0.0024,0.0023,0.0071,0.0026,0.0075,0.1519,0.0336,0.0130,0.0049,0.0033,0.0133,0.0076,0.0135,0.0044,0.0190,0.0000
ISIC 61,0.0011,0.0027,0.0044,0.0020,0.0015,0.0014,0.0023,0.0015,0.0020,0.0004,0.0008,0.0018,0.0013,0.0014,0.0000,0.0008,0.0009,0.0015,0.0009,0.0016,0.0022,0.0021,0.0011,0.0018,0.0011,0.0000,0.0022,0.0019,0.0057,0.0034,0.0048,0.0069,0.0954,0.0072,0.0066,0.0031,0.0053,0.0098,0.0037,0.0049,0.0070,0.0000
ISIC 62T63,0.0026,0.0064,0.0105,0.0064,0.0042,0.0092,0.0080,0.0048,0.0094,0.0019,0.0054,0.0108,0.0062,0.0066,0.0000,0.0049,0.0037,0.0063,0.0049,0.0087,0.0079,0.0067,0.0062,0.0069,0.0076,0.0000,0.0099,0.0063,0.0196,0.0102,0.0101,0.0289,0.0564,0.1561,0.0328,0.0095,0.0248,0.0290,0.0159,0.0135,0.0177,0.0000
ISIC 64T66,0.0307,0.0208,0.0507,0.0256,0.0235,0.0244,0.0266,0.0162,0.0268,0.0101,0.0142,0.0158,0.0194,0.0220,0.0000,0.0157,0.0164,0.0171,0.0077,0.0204,0.0207,0.0159,0.0141,0.0170,0.0203,0.0000,0.0257,0.0175,0.0408,0.0312,0.0237,0.0149,0.0288,0.0161,0.2133,0.0769,0.0288,0.0322,0.0148,0.0145,0.0311,0.0000
ISIC 68,0.0030,0.0075,0.0149,0.0082,0.0052,0.0106,0.0157,0.0070,0.0119,0.0020,0.0041,0.0069,0.0079,0.0079,0.0000,0.0053,0.0053,0.0110,0.0040,0.0085,0.0083,0.0084,0.0061,0.0131,0.0049,0.0000,0.0109,0.0118,0.0772,0.0203,0.0856,0.0227,0.0426,0.0277,0.0283,0.0584,0.0290,0.0282,0.0279,0.0296,0.0447,0.0000
ISIC 69T82,0.0433,0.0541,0.1172,0.0731,0.0810,0.0673,0.0556,0.0284,0.0531,0.0124,0.0337,0.0600,0.0518,0.0515,0.0000,0.0325,0.0237,0.0459,0.0334,0.0488,0.0540,0.0701,0.0472,0.0441,0.0437,0.0000,0.0715,0.0656,0.1117,0.0638,0.0811,0.0984,0.1359,0.0895,0.0980,0.0823,0.1703,0.1110,0.0727,0.0683,0.1019,0.0000
ISIC 84,0.0080,0.0089,0.0089,0.0096,0.0046,0.0089,0.0092,0.0087,0.0119,0.0024,0.0054,0.0061,0.0068,0.0088,0.0000,0.0120,0.0098,0.0073,0.0016,0.0053,0.0055,0.0067,0.0045,0.0049,0.0164,0.0000,0.0284,0.0070,0.0123,0.0105,0.0122,0.0055,0.0120,0.0042,0.0100,0.0131,0.0076,0.0323,0.0100,0.0170,0.0137,0.0000
ISIC 85,0.0005,0.0004,0.0010,0.0011,0.0005,0.0008,0.0007,0.0005,0.0011,0.0003,0.0005,0.0009,0.0005,0.0006,0.0000,0.0006,0.0005,0.0006,0.0003,0.0008,0.0008,0.0005,0.0007,0.0007,0.0005,0.0000,0.0011,0.0013,0.0012,0.0012,0.0011,0.0013,0.0027,0.0023,0.0021,0.0010,0.0026,0.0055,0.0136,0.0021,0.0036,0.0000
ISIC 86T88,0.0003,0.0010,0.0005,0.0003,0.0002,0.0005,0.0004,0.0002,0.0004,0.0001,0.0002,0.0005,0.0005,0.0007,0.0000,0.0002,0.0002,0.0006,0.0002,0.0004,0.0004,0.0004,0.0002,0.0004,0.0002,0.0000,0.0006,0.0003,0.0007,0.0005,0.0009,0.0005,0.0004,0.0004,0.0007,0.0002,0.0007,0.0052,0.0018,0.0692,0.0019,0.0000
ISIC 90T96,0.0010,0.0009,0.0012,0.0013,0.0007,0.0018,0.0018,0.0010,0.0012,0.0004,0.0008,0.0007,0.0010,0.0012,0.0000,0.0008,0.0006,0.0012,0.0005,0.0008,0.0010,0.0010,0.0007,0.0013,0.0005,0.0000,0.0024,0.0009,0.0028,0.0015,0.0066,0.0118,0.0027,0.0018,0.0026,0.0017,0.0034,0.0049,0.0042,0.0062,0.0504,0.0000
ISIC 97T98,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
